출발구,도착구,전입자수
강남구,송파구,8977
송파구,강동구,8085
서초구,강남구,7347
송파구,강남구,6760
강서구,양천구,6712
양천구,강서구,6611
강남구,서초구,6375
관악구,동작구,5359
강동구,송파구,5264
서대문구,은평구,5085
강북구,성북구,4910
동작구,관악구,4683
서초구,동작구,4341
동대문구,성북구,4044
성북구,강북구,3969
강북구,도봉구,3933
노원구,성북구,3828
은평구,서대문구,3800
마포구,서대문구,3796
동작구,서초구,3652
성동구,동대문구,3389
도봉구,노원구,3190
광진구,송파구,3165
마포구,은평구,3131
서대문구,마포구,3111
서초구,송파구,3103
노원구,도봉구,3103
도봉구,강북구,3045
중랑구,노원구,3022
동작구,영등포구,2971
영등포구,구로구,2941
양천구,구로구,2883
성동구,광진구,2809
관악구,금천구,2805
영등포구,동작구,2803
구로구,양천구,2778
관악구,구로구,2715
광진구,중랑구,2705
동대문구,중랑구,2704
광진구,강동구,2670
노원구,중랑구,2630
영등포구,강서구,2623
영등포구,양천구,2485
강남구,성동구,2479
성동구,송파구,2454
성동구,강남구,2436
관악구,서초구,2424
성북구,노원구,2403
관악구,영등포구,2391
서초구,관악구,2376
도봉구,성북구,2232
관악구,송파구,2200
성북구,동대문구,2178
용산구,마포구,2151
중랑구,동대문구,2131
마포구,용산구,2118
구로구,영등포구,2103
송파구,광진구,2088
종로구,성북구,2055
관악구,강남구,2054
양천구,영등포구,2041
관악구,강서구,2002
강서구,영등포구,1969
강서구,구로구,1935
은평구,마포구,1900
마포구,강서구,1886
금천구,관악구,1885
강남구,관악구,1880
강남구,강동구,1841
송파구,서초구,1839
중랑구,광진구,1835
영등포구,관악구,1730
강남구,광진구,1719
영등포구,마포구,1713
광진구,성동구,1702
광진구,강남구,1689
노원구,강북구,1687
동작구,송파구,1686
강북구,노원구,1680
광진구,동대문구,1658
구로구,관악구,1642
마포구,영등포구,1641
금천구,구로구,1620
강남구,동작구,1592
동작구,강남구,1581
강남구,용산구,1575
구로구,금천구,1540
강서구,마포구,1530
서초구,용산구,1511
동대문구,성동구,1505
성북구,도봉구,1472
성동구,중구,1466
동대문구,노원구,1454
종로구,서대문구,1435
용산구,서초구,1431
용산구,강남구,1429
성동구,강동구,1352
성북구,종로구,1347
마포구,송파구,1346
동작구,구로구,1340
동대문구,광진구,1335
구로구,강서구,1317
강서구,관악구,1315
마포구,강남구,1286
노원구,송파구,1281
강동구,광진구,1278
송파구,성동구,1261
중구,성동구,1258
노원구,동대문구,1255
서대문구,종로구,1252
중랑구,성북구,1249
종로구,은평구,1235
관악구,마포구,1232
강서구,은평구,1227
동작구,강서구,1226
영등포구,송파구,1217
동대문구,송파구,1213
서초구,성동구,1211
성동구,성북구,1205
송파구,관악구,1204
강서구,송파구,1194
강남구,마포구,1190
영등포구,강남구,1183
마포구,서초구,1166
성동구,서초구,1157
성북구,송파구,1143
강동구,강남구,1135
중랑구,강동구,1133
양천구,강남구,1123
양천구,마포구,1120
동대문구,강동구,1115
성북구,강남구,1113
관악구,광진구,1111
성동구,중랑구,1105
마포구,양천구,1079
관악구,양천구,1059
영등포구,금천구,1058
은평구,강서구,1056
강남구,영등포구,1036
서초구,마포구,1019
강서구,강남구,1017
마포구,관악구,1015
송파구,동대문구,1011
관악구,은평구,1008
강서구,동작구,1001
노원구,강동구,998
관악구,강동구,971
성북구,중랑구,967
구로구,동작구,963
강서구,서대문구,956
용산구,동작구,955
광진구,노원구,950
송파구,동작구,943
동대문구,강북구,938
성북구,은평구,937
영등포구,서초구,916
중랑구,송파구,915
동작구,용산구,909
강남구,강서구,902
양천구,송파구,900
서대문구,강서구,891
은평구,종로구,888
동작구,양천구,885
노원구,광진구,882
서초구,영등포구,878
광진구,관악구,877
송파구,마포구,865
강남구,성북구,865
노원구,강남구,862
동작구,금천구,860
용산구,은평구,853
용산구,송파구,852
동대문구,강남구,850
용산구,성동구,849
강남구,동대문구,849
송파구,영등포구,845
성북구,성동구,841
서대문구,송파구,838
영등포구,용산구,835
송파구,강서구,835
중구,용산구,832
동작구,마포구,830
금천구,영등포구,827
영등포구,은평구,826
서대문구,강남구,820
서대문구,관악구,819
강서구,서초구,813
양천구,관악구,810
성북구,강동구,806
관악구,성북구,803
마포구,동작구,802
서대문구,영등포구,799
마포구,구로구,790
광진구,성북구,789
은평구,송파구,786
서초구,강동구,785
마포구,성북구,781
송파구,성북구,779
은평구,성북구,778
중구,성북구,775
성북구,관악구,775
구로구,송파구,774
종로구,동대문구,766
성동구,용산구,763
성북구,마포구,761
송파구,중랑구,755
관악구,용산구,755
양천구,서초구,751
강남구,서대문구,751
영등포구,서대문구,750
강남구,중구,749
관악구,서대문구,747
동대문구,도봉구,743
은평구,관악구,742
용산구,중구,739
구로구,마포구,739
양천구,동작구,738
용산구,영등포구,737
서초구,광진구,736
서초구,강서구,736
용산구,서대문구,719
강남구,중랑구,718
동대문구,관악구,717
강서구,강동구,717
중구,마포구,713
용산구,관악구,709
송파구,노원구,704
송파구,용산구,702
동작구,성북구,694
중랑구,도봉구,687
중구,강남구,681
강동구,동대문구,675
광진구,서초구,672
노원구,성동구,672
동작구,강동구,667
강남구,은평구,665
강남구,노원구,657
종로구,마포구,657
강북구,동대문구,656
성북구,서대문구,652
강서구,성북구,647
금천구,동작구,646
중랑구,강북구,644
성동구,마포구,643
서초구,성북구,639
도봉구,중랑구,638
성동구,관악구,638
노원구,관악구,638
서대문구,용산구,634
동작구,은평구,632
구로구,강남구,631
강북구,중랑구,631
중구,송파구,630
은평구,강남구,630
양천구,서대문구,630
성북구,중구,630
양천구,은평구,630
강동구,중랑구,629
중랑구,강남구,627
종로구,강남구,624
영등포구,성북구,623
동대문구,은평구,621
금천구,강서구,619
관악구,성동구,613
강남구,종로구,611
용산구,성북구,608
종로구,중구,607
서대문구,양천구,607
서대문구,성북구,607
관악구,동대문구,604
성동구,동작구,602
성북구,광진구,601
성북구,서초구,600
마포구,성동구,599
성동구,은평구,599
광진구,동작구,599
용산구,강서구,595
마포구,중구,594
송파구,구로구,591
성동구,노원구,591
관악구,중랑구,589
은평구,영등포구,587
중구,동대문구,584
송파구,은평구,581
은평구,구로구,580
도봉구,송파구,578
노원구,은평구,577
동작구,광진구,574
영등포구,강동구,574
중랑구,성동구,572
마포구,강동구,565
구로구,은평구,565
마포구,종로구,564
관악구,노원구,561
송파구,서대문구,560
서초구,은평구,558
서초구,서대문구,557
성북구,동작구,552
동대문구,종로구,551
노원구,동작구,550
은평구,양천구,549
동대문구,마포구,548
용산구,종로구,547
노원구,강서구,545
강서구,용산구,544
강동구,관악구,542
노원구,마포구,542
동대문구,강서구,541
종로구,용산구,539
동대문구,중구,538
도봉구,동대문구,536
성북구,영등포구,535
중구,서초구,533
광진구,강서구,533
성북구,용산구,530
광진구,은평구,530
동대문구,영등포구,528
강서구,금천구,526
강남구,구로구,526
성동구,영등포구,522
서초구,구로구,522
은평구,용산구,520
서대문구,서초구,516
서대문구,동작구,515
마포구,동대문구,515
종로구,송파구,513
강동구,노원구,509
광진구,마포구,509
금천구,양천구,509
성동구,서대문구,506
중랑구,관악구,503
동작구,서대문구,503
광진구,영등포구,502
송파구,양천구,501
서초구,중구,501
성북구,강서구,501
강동구,성동구,498
은평구,강동구,496
강남구,양천구,496
중구,서대문구,490
양천구,강동구,489
서초구,종로구,487
강동구,성북구,486
강북구,관악구,486
종로구,강북구,485
동대문구,동작구,481
동작구,성동구,480
구로구,서초구,479
중랑구,강서구,476
강북구,은평구,475
서초구,동대문구,475
서대문구,구로구,474
강북구,송파구,473
양천구,용산구,473
노원구,서초구,472
강서구,동대문구,468
은평구,동대문구,467
성동구,강서구,464
영등포구,성동구,464
동대문구,서초구,461
강서구,성동구,461
동작구,노원구,460
은평구,노원구,460
은평구,동작구,458
종로구,서초구,455
서대문구,동대문구,454
중구,종로구,454
성동구,강북구,452
강동구,강서구,452
양천구,금천구,449
서초구,양천구,447
마포구,광진구,447
중랑구,은평구,446
중구,은평구,444
양천구,성북구,440
구로구,성북구,439
은평구,서초구,438
동작구,중랑구,437
노원구,구로구,434
용산구,동대문구,431
강서구,광진구,431
노원구,영등포구,430
송파구,중구,430
영등포구,동대문구,430
광진구,강북구,428
도봉구,강남구,427
구로구,서대문구,426
구로구,강동구,426
도봉구,강동구,426
성북구,구로구,425
용산구,광진구,421
마포구,노원구,416
서대문구,성동구,414
용산구,양천구,414
동작구,동대문구,413
관악구,강북구,413
영등포구,광진구,410
서대문구,강동구,407
동대문구,구로구,407
종로구,관악구,405
강북구,강남구,402
광진구,구로구,402
성동구,종로구,402
종로구,성동구,401
은평구,강북구,396
강동구,서초구,396
강서구,노원구,395
동대문구,용산구,394
강동구,마포구,390
동대문구,서대문구,389
도봉구,은평구,389
서초구,노원구,388
노원구,서대문구,384
서대문구,중구,380
용산구,구로구,379
강북구,강서구,377
강동구,동작구,375
은평구,중랑구,373
강북구,광진구,370
중구,광진구,366
송파구,도봉구,365
광진구,용산구,363
강서구,중랑구,361
광진구,서대문구,361
은평구,광진구,361
용산구,강동구,360
은평구,성동구,360
성동구,도봉구,354
노원구,용산구,349
서초구,중랑구,347
광진구,도봉구,347
성북구,양천구,346
종로구,영등포구,344
구로구,용산구,341
노원구,종로구,341
영등포구,종로구,340
은평구,중구,339
강북구,강동구,338
송파구,종로구,338
용산구,노원구,335
관악구,종로구,332
중랑구,영등포구,332
광진구,중구,332
강남구,도봉구,332
용산구,강북구,331
중랑구,동작구,331
도봉구,관악구,327
마포구,금천구,326
송파구,강북구,326
도봉구,강서구,326
서대문구,광진구,323
중구,영등포구,323
금천구,송파구,322
도봉구,광진구,321
도봉구,성동구,320
강동구,은평구,320
강북구,성동구,319
강서구,종로구,318
강동구,영등포구,318
영등포구,노원구,318
종로구,강서구,318
강남구,강북구,317
서대문구,노원구,317
마포구,강북구,313
서대문구,강북구,313
관악구,중구,312
종로구,도봉구,312
종로구,노원구,311
강북구,종로구,308
관악구,도봉구,308
노원구,중구,307
중구,관악구,306
중랑구,마포구,304
중랑구,구로구,304
동작구,중구,299
마포구,중랑구,297
강동구,서대문구,297
은평구,도봉구,296
양천구,성동구,295
강북구,마포구,293
금천구,강남구,293
광진구,양천구,292
구로구,노원구,288
영등포구,중랑구,288
성동구,구로구,287
중구,강북구,286
