출발구,도착구,전입자수
동작구,관악구,1901
관악구,동작구,1870
양천구,강서구,1522
송파구,강동구,1510
관악구,영등포구,1465
강서구,양천구,1450
강남구,송파구,1353
관악구,송파구,1325
관악구,금천구,1311
서초구,강남구,1293
강남구,서초구,1272
송파구,강남구,1243
서대문구,마포구,1212
관악구,강남구,1157
영등포구,강서구,1151
강동구,송파구,1128
관악구,강서구,1126
강서구,영등포구,1061
관악구,구로구,1048
동작구,영등포구,1039
서대문구,은평구,975
마포구,서대문구,966
관악구,서초구,937
광진구,중랑구,902
영등포구,관악구,856
영등포구,구로구,850
금천구,관악구,843
강남구,관악구,842
성북구,동대문구,835
마포구,은평구,827
관악구,마포구,820
성북구,강북구,801
강북구,도봉구,784
관악구,광진구,775
마포구,영등포구,759
광진구,송파구,747
동대문구,성북구,745
영등포구,동작구,739
성동구,동대문구,737
구로구,관악구,732
서초구,관악구,732
동대문구,중랑구,728
영등포구,마포구,706
강북구,성북구,694
은평구,서대문구,693
구로구,영등포구,689
마포구,강서구,682
금천구,구로구,677
성동구,광진구,676
강서구,관악구,662
구로구,금천구,659
서초구,동작구,649
마포구,관악구,635
동작구,서초구,633
강서구,마포구,626
광진구,성동구,624
노원구,중랑구,615
도봉구,노원구,615
도봉구,강북구,612
은평구,마포구,612
용산구,마포구,606
중랑구,노원구,596
송파구,광진구,594
강남구,성동구,586
광진구,강동구,585
관악구,은평구,581
서초구,송파구,581
노원구,도봉구,579
동작구,강남구,569
관악구,강동구,569
광진구,관악구,563
송파구,관악구,558
동작구,강서구,554
광진구,동대문구,540
강서구,구로구,534
동대문구,성동구,527
중랑구,동대문구,525
성북구,관악구,524
구로구,강서구,522
강남구,광진구,522
동대문구,관악구,522
성북구,노원구,520
동작구,송파구,518
중랑구,광진구,515
강남구,동작구,513
양천구,영등포구,509
영등포구,양천구,509
노원구,성북구,508
서대문구,관악구,495
마포구,용산구,493
마포구,강남구,479
강서구,은평구,479
광진구,강남구,478
성동구,강남구,470
금천구,영등포구,469
관악구,중랑구,468
영등포구,송파구,467
강동구,광진구,465
영등포구,강남구,461
송파구,서초구,446
관악구,서대문구,445
관악구,양천구,439
종로구,성북구,435
서대문구,영등포구,433
강남구,영등포구,430
