출발구,도착구,전입자수
송파구,강동구,2131
동작구,관악구,2110
관악구,동작구,1982
양천구,강서구,1710
강서구,양천구,1577
서초구,강남구,1501
강남구,송파구,1493
관악구,영등포구,1484
관악구,금천구,1483
강남구,서초구,1325
강동구,송파구,1310
관악구,송파구,1300
서대문구,마포구,1260
관악구,강남구,1245
송파구,강남구,1235
관악구,강서구,1218
동작구,영등포구,1211
관악구,구로구,1160
영등포구,강서구,1153
강서구,영등포구,1151
서대문구,은평구,1079
광진구,중랑구,1068
마포구,서대문구,1014
영등포구,관악구,978
관악구,서초구,974
마포구,영등포구,939
영등포구,구로구,928
금천구,관악구,915
성북구,강북구,914
강남구,관악구,901
마포구,은평구,898
동대문구,중랑구,887
영등포구,동작구,881
강북구,도봉구,865
강서구,관악구,832
구로구,영등포구,822
관악구,광진구,817
성북구,동대문구,814
구로구,관악구,806
마포구,강서구,793
광진구,강동구,789
영등포구,마포구,784
서초구,관악구,779
강북구,성북구,778
광진구,송파구,774
관악구,마포구,758
구로구,금천구,753
노원구,중랑구,751
서초구,동작구,745
성동구,동대문구,741
동대문구,성북구,740
서초구,송파구,734
중랑구,노원구,712
성동구,광진구,712
송파구,관악구,709
동작구,서초구,704
금천구,구로구,700
관악구,강동구,696
은평구,마포구,674
강서구,마포구,667
도봉구,노원구,664
용산구,마포구,653
마포구,관악구,649
은평구,서대문구,646
강서구,구로구,632
도봉구,강북구,631
중랑구,광진구,628
강남구,성동구,623
구로구,강서구,620
송파구,광진구,620
노원구,도봉구,614
중랑구,동대문구,611
성북구,노원구,597
강남구,광진구,596
관악구,은평구,594
성북구,관악구,594
광진구,관악구,588
양천구,영등포구,581
광진구,성동구,581
마포구,용산구,577
동작구,강서구,574
강서구,송파구,573
광진구,동대문구,563
동대문구,성동구,559
영등포구,양천구,556
노원구,성북구,556
동작구,강남구,554
광진구,강남구,548
서대문구,관악구,545
동작구,송파구,532
관악구,중랑구,523
마포구,강남구,522
동대문구,관악구,515
강남구,강동구,515
강남구,동작구,512
관악구,양천구,508
강서구,은평구,507
동작구,금천구,504
은평구,강서구,501
동대문구,광진구,490
영등포구,금천구,488
영등포구,강남구,484
동대문구,송파구,483
강서구,동작구,477
영등포구,송파구,477
