출발지,도착지,총이동인원수
강원특별자치도 강릉시,강원특별자치도 고성군,58
강원특별자치도 강릉시,강원특별자치도 동해시,564
강원특별자치도 강릉시,강원특별자치도 삼척시,238
강원특별자치도 강릉시,강원특별자치도 속초시,319
강원특별자치도 강릉시,강원특별자치도 양구군,19
강원특별자치도 강릉시,강원특별자치도 양양군,198
강원특별자치도 강릉시,강원특별자치도 영월군,28
강원특별자치도 강릉시,강원특별자치도 원주시,712
강원특별자치도 강릉시,강원특별자치도 인제군,47
강원특별자치도 강릉시,강원특별자치도 정선군,113
강원특별자치도 강릉시,강원특별자치도 철원군,17
강원특별자치도 강릉시,강원특별자치도 춘천시,576
강원특별자치도 강릉시,강원특별자치도 태백시,105
강원특별자치도 강릉시,강원특별자치도 평창군,241
강원특별자치도 강릉시,강원특별자치도 홍천군,63
강원특별자치도 강릉시,강원특별자치도 화천군,14
강원특별자치도 강릉시,강원특별자치도 횡성군,45
강원특별자치도 강릉시,경기도 가평군,20
강원특별자치도 강릉시,경기도 고양시,202
강원특별자치도 강릉시,경기도 과천시,23
강원특별자치도 강릉시,경기도 광명시,34
강원특별자치도 강릉시,경기도 광주시,86
강원특별자치도 강릉시,경기도 구리시,38
강원특별자치도 강릉시,경기도 군포시,34
강원특별자치도 강릉시,경기도 김포시,67
강원특별자치도 강릉시,경기도 남양주시,171
강원특별자치도 강릉시,경기도 동두천시,11
강원특별자치도 강릉시,경기도 부천시,94
강원특별자치도 강릉시,경기도 성남시,194
강원특별자치도 강릉시,경기도 수원시,265
강원특별자치도 강릉시,경기도 시흥시,75
강원특별자치도 강릉시,경기도 안산시,113
강원특별자치도 강릉시,경기도 안성시,46
강원특별자치도 강릉시,경기도 안양시,86
강원특별자치도 강릉시,경기도 양주시,48
강원특별자치도 강릉시,경기도 양평군,52
강원특별자치도 강릉시,경기도 여주시,66
강원특별자치도 강릉시,경기도 연천군,9
강원특별자치도 강릉시,경기도 오산시,78
강원특별자치도 강릉시,경기도 용인시,273
강원특별자치도 강릉시,경기도 의왕시,15
강원특별자치도 강릉시,경기도 의정부시,68
강원특별자치도 강릉시,경기도 이천시,76
강원특별자치도 강릉시,경기도 파주시,100
강원특별자치도 강릉시,경기도 평택시,182
강원특별자치도 강릉시,경기도 포천시,43
강원특별자치도 강릉시,경기도 하남시,64
강원특별자치도 강릉시,경기도 화성시,180
강원특별자치도 강릉시,경상남도 거제시,33
강원특별자치도 강릉시,경상남도 고성군,6
강원특별자치도 강릉시,경상남도 김해시,32
강원특별자치도 강릉시,경상남도 남해군,1
강원특별자치도 강릉시,경상남도 밀양시,5
강원특별자치도 강릉시,경상남도 사천시,20
강원특별자치도 강릉시,경상남도 산청군,3
강원특별자치도 강릉시,경상남도 양산시,24
강원특별자치도 강릉시,경상남도 의령군,1
강원특별자치도 강릉시,경상남도 진주시,41
강원특별자치도 강릉시,경상남도 창녕군,6
강원특별자치도 강릉시,경상남도 창원시,49
강원특별자치도 강릉시,경상남도 통영시,3
강원특별자치도 강릉시,경상남도 하동군,2
강원특별자치도 강릉시,경상남도 함안군,4
강원특별자치도 강릉시,경상남도 함양군,1
강원특별자치도 강릉시,경상남도 합천군,1
강원특별자치도 강릉시,경상북도 경산시,15
강원특별자치도 강릉시,경상북도 경주시,37
강원특별자치도 강릉시,경상북도 고령군,2
강원특별자치도 강릉시,경상북도 구미시,59
강원특별자치도 강릉시,경상북도 김천시,31
강원특별자치도 강릉시,경상북도 문경시,5
강원특별자치도 강릉시,경상북도 봉화군,9
강원특별자치도 강릉시,경상북도 상주시,4
강원특별자치도 강릉시,경상북도 성주군,2
강원특별자치도 강릉시,경상북도 안동시,58
강원특별자치도 강릉시,경상북도 영덕군,12
강원특별자치도 강릉시,경상북도 영주시,23
강원특별자치도 강릉시,경상북도 영천시,7
강원특별자치도 강릉시,경상북도 예천군,8
강원특별자치도 강릉시,경상북도 울릉군,10
강원특별자치도 강릉시,경상북도 울진군,38
강원특별자치도 강릉시,경상북도 의성군,5
강원특별자치도 강릉시,경상북도 청도군,2
강원특별자치도 강릉시,경상북도 칠곡군,6
강원특별자치도 강릉시,경상북도 포항시,77
강원특별자치도 강릉시,광주광역시,85
강원특별자치도 강릉시,대구광역시,188
강원특별자치도 강릉시,대전광역시,247
강원특별자치도 강릉시,부산광역시,218
강원특별자치도 강릉시,서울특별시,2161
강원특별자치도 강릉시,세종특별자치시,74
강원특별자치도 강릉시,울산광역시,113
강원특별자치도 강릉시,인천광역시,660
강원특별자치도 강릉시,전라남도 강진군,1
강원특별자치도 강릉시,전라남도 고흥군,4
강원특별자치도 강릉시,전라남도 곡성군,1
강원특별자치도 강릉시,전라남도 광양시,16
강원특별자치도 강릉시,전라남도 구례군,4
강원특별자치도 강릉시,전라남도 나주시,16
강원특별자치도 강릉시,전라남도 담양군,1
강원특별자치도 강릉시,전라남도 목포시,12
강원특별자치도 강릉시,전라남도 무안군,6
강원특별자치도 강릉시,전라남도 보성군,1
강원특별자치도 강릉시,전라남도 순천시,18
강원특별자치도 강릉시,전라남도 신안군,4
강원특별자치도 강릉시,전라남도 여수시,29
강원특별자치도 강릉시,전라남도 영광군,4
강원특별자치도 강릉시,전라남도 영암군,2
강원특별자치도 강릉시,전라남도 완도군,4
강원특별자치도 강릉시,전라남도 장성군,7
강원특별자치도 강릉시,전라남도 장흥군,3
강원특별자치도 강릉시,전라남도 진도군,1
강원특별자치도 강릉시,전라남도 해남군,3
강원특별자치도 강릉시,전라남도 화순군,4
강원특별자치도 강릉시,전북특별자치도 고창군,3
강원특별자치도 강릉시,전북특별자치도 군산시,15
강원특별자치도 강릉시,전북특별자치도 김제시,5
강원특별자치도 강릉시,전북특별자치도 남원시,16
강원특별자치도 강릉시,전북특별자치도 무주군,2
강원특별자치도 강릉시,전북특별자치도 부안군,8
강원특별자치도 강릉시,전북특별자치도 순창군,1
강원특별자치도 강릉시,전북특별자치도 완주군,5
강원특별자치도 강릉시,전북특별자치도 익산시,10
강원특별자치도 강릉시,전북특별자치도 임실군,1
강원특별자치도 강릉시,전북특별자치도 전주시,39
강원특별자치도 강릉시,전북특별자치도 정읍시,4
강원특별자치도 강릉시,제주특별자치도 서귀포시,35
강원특별자치도 강릉시,제주특별자치도 제주시,57
강원특별자치도 강릉시,충청남도 계룡시,37
강원특별자치도 강릉시,충청남도 공주시,17
강원특별자치도 강릉시,충청남도 금산군,2
강원특별자치도 강릉시,충청남도 논산시,17
강원특별자치도 강릉시,충청남도 당진시,35
강원특별자치도 강릉시,충청남도 보령시,10
강원특별자치도 강릉시,충청남도 부여군,1
강원특별자치도 강릉시,충청남도 서산시,29
강원특별자치도 강릉시,충청남도 서천군,3
강원특별자치도 강릉시,충청남도 아산시,66
강원특별자치도 강릉시,충청남도 예산군,16
강원특별자치도 강릉시,충청남도 천안시,115
강원특별자치도 강릉시,충청남도 청양군,1
강원특별자치도 강릉시,충청남도 태안군,9
강원특별자치도 강릉시,충청남도 홍성군,9
강원특별자치도 강릉시,충청북도 괴산군,2
강원특별자치도 강릉시,충청북도 단양군,4
강원특별자치도 강릉시,충청북도 보은군,1
강원특별자치도 강릉시,충청북도 영동군,6
강원특별자치도 강릉시,충청북도 옥천군,1
강원특별자치도 강릉시,충청북도 음성군,26
강원특별자치도 강릉시,충청북도 제천시,46
강원특별자치도 강릉시,충청북도 증평군,3
강원특별자치도 강릉시,충청북도 진천군,24
강원특별자치도 강릉시,충청북도 청주시,167
강원특별자치도 강릉시,충청북도 충주시,65
강원특별자치도 고성군,강원특별자치도 강릉시,66
강원특별자치도 고성군,강원특별자치도 동해시,12
강원특별자치도 고성군,강원특별자치도 삼척시,18
강원특별자치도 고성군,강원특별자치도 속초시,658
강원특별자치도 고성군,강원특별자치도 양구군,6
강원특별자치도 고성군,강원특별자치도 양양군,38
강원특별자치도 고성군,강원특별자치도 영월군,4
강원특별자치도 고성군,강원특별자치도 원주시,59
강원특별자치도 고성군,강원특별자치도 인제군,31
강원특별자치도 고성군,강원특별자치도 정선군,3
강원특별자치도 고성군,강원특별자치도 철원군,3
강원특별자치도 고성군,강원특별자치도 춘천시,83
강원특별자치도 고성군,강원특별자치도 태백시,5
강원특별자치도 고성군,강원특별자치도 평창군,11
강원특별자치도 고성군,강원특별자치도 홍천군,19
강원특별자치도 고성군,강원특별자치도 화천군,5
강원특별자치도 고성군,강원특별자치도 횡성군,4
강원특별자치도 고성군,경기도 가평군,8
강원특별자치도 고성군,경기도 고양시,42
강원특별자치도 고성군,경기도 과천시,3
강원특별자치도 고성군,경기도 광명시,13
강원특별자치도 고성군,경기도 광주시,8
강원특별자치도 고성군,경기도 구리시,5
강원특별자치도 고성군,경기도 군포시,4
강원특별자치도 고성군,경기도 김포시,19
강원특별자치도 고성군,경기도 남양주시,37
강원특별자치도 고성군,경기도 동두천시,2
강원특별자치도 고성군,경기도 부천시,25
강원특별자치도 고성군,경기도 성남시,40
강원특별자치도 고성군,경기도 수원시,29
강원특별자치도 고성군,경기도 시흥시,9
강원특별자치도 고성군,경기도 안산시,25
강원특별자치도 고성군,경기도 안성시,10
강원특별자치도 고성군,경기도 안양시,16
강원특별자치도 고성군,경기도 양주시,32
강원특별자치도 고성군,경기도 양평군,12
강원특별자치도 고성군,경기도 여주시,15
강원특별자치도 고성군,경기도 연천군,8
강원특별자치도 고성군,경기도 오산시,11
강원특별자치도 고성군,경기도 용인시,36
강원특별자치도 고성군,경기도 의왕시,2
강원특별자치도 고성군,경기도 의정부시,18
강원특별자치도 고성군,경기도 이천시,12
강원특별자치도 고성군,경기도 파주시,42
강원특별자치도 고성군,경기도 평택시,23
강원특별자치도 고성군,경기도 포천시,6
강원특별자치도 고성군,경기도 하남시,19
강원특별자치도 고성군,경기도 화성시,35
강원특별자치도 고성군,경상남도 거제시,13
강원특별자치도 고성군,경상남도 고성군,1
강원특별자치도 고성군,경상남도 김해시,5
강원특별자치도 고성군,경상남도 산청군,1
강원특별자치도 고성군,경상남도 양산시,7
강원특별자치도 고성군,경상남도 의령군,1
강원특별자치도 고성군,경상남도 진주시,1
강원특별자치도 고성군,경상남도 창원시,9
강원특별자치도 고성군,경상남도 통영시,2
강원특별자치도 고성군,경상남도 함안군,1
강원특별자치도 고성군,경상북도 경산시,13
강원특별자치도 고성군,경상북도 경주시,1
강원특별자치도 고성군,경상북도 구미시,3
강원특별자치도 고성군,경상북도 김천시,3
강원특별자치도 고성군,경상북도 문경시,3
강원특별자치도 고성군,경상북도 안동시,8
강원특별자치도 고성군,경상북도 영덕군,2
강원특별자치도 고성군,경상북도 영주시,3
강원특별자치도 고성군,경상북도 영천시,2
강원특별자치도 고성군,경상북도 울진군,5
강원특별자치도 고성군,경상북도 칠곡군,2
강원특별자치도 고성군,경상북도 포항시,7
강원특별자치도 고성군,광주광역시,10
강원특별자치도 고성군,대구광역시,23
강원특별자치도 고성군,대전광역시,42
강원특별자치도 고성군,부산광역시,22
강원특별자치도 고성군,서울특별시,310
강원특별자치도 고성군,세종특별자치시,9
강원특별자치도 고성군,울산광역시,21
강원특별자치도 고성군,인천광역시,99
강원특별자치도 고성군,전라남도 강진군,1
강원특별자치도 고성군,전라남도 고흥군,1
강원특별자치도 고성군,전라남도 광양시,3
강원특별자치도 고성군,전라남도 구례군,1
강원특별자치도 고성군,전라남도 담양군,2
강원특별자치도 고성군,전라남도 순천시,1
강원특별자치도 고성군,전라남도 영광군,3
강원특별자치도 고성군,전라남도 영암군,1
강원특별자치도 고성군,전라남도 완도군,3
강원특별자치도 고성군,전라남도 장성군,10
강원특별자치도 고성군,전라남도 해남군,1
강원특별자치도 고성군,전북특별자치도 군산시,4
강원특별자치도 고성군,전북특별자치도 김제시,2
강원특별자치도 고성군,전북특별자치도 익산시,10
강원특별자치도 고성군,전북특별자치도 임실군,1
강원특별자치도 고성군,전북특별자치도 전주시,4
강원특별자치도 고성군,전북특별자치도 정읍시,1
강원특별자치도 고성군,제주특별자치도 서귀포시,1
강원특별자치도 고성군,제주특별자치도 제주시,10
강원특별자치도 고성군,충청남도 계룡시,13
강원특별자치도 고성군,충청남도 공주시,4
강원특별자치도 고성군,충청남도 논산시,14
강원특별자치도 고성군,충청남도 당진시,7
강원특별자치도 고성군,충청남도 보령시,5
강원특별자치도 고성군,충청남도 서산시,1
강원특별자치도 고성군,충청남도 서천군,1
강원특별자치도 고성군,충청남도 아산시,12
강원특별자치도 고성군,충청남도 천안시,24
강원특별자치도 고성군,충청남도 청양군,1
강원특별자치도 고성군,충청남도 태안군,1
강원특별자치도 고성군,충청남도 홍성군,4
강원특별자치도 고성군,충청북도 괴산군,1
강원특별자치도 고성군,충청북도 보은군,1
강원특별자치도 고성군,충청북도 영동군,6
강원특별자치도 고성군,충청북도 옥천군,3
강원특별자치도 고성군,충청북도 음성군,6
강원특별자치도 고성군,충청북도 제천시,10
강원특별자치도 고성군,충청북도 증평군,1
강원특별자치도 고성군,충청북도 진천군,3
강원특별자치도 고성군,충청북도 청주시,20
강원특별자치도 고성군,충청북도 충주시,5
강원특별자치도 동해시,강원특별자치도 강릉시,616
강원특별자치도 동해시,강원특별자치도 고성군,17
강원특별자치도 동해시,강원특별자치도 삼척시,736
강원특별자치도 동해시,강원특별자치도 속초시,96
강원특별자치도 동해시,강원특별자치도 양구군,5
강원특별자치도 동해시,강원특별자치도 양양군,20
강원특별자치도 동해시,강원특별자치도 영월군,31
강원특별자치도 동해시,강원특별자치도 원주시,251
강원특별자치도 동해시,강원특별자치도 인제군,19
강원특별자치도 동해시,강원특별자치도 정선군,43
강원특별자치도 동해시,강원특별자치도 철원군,14
강원특별자치도 동해시,강원특별자치도 춘천시,225
강원특별자치도 동해시,강원특별자치도 태백시,89
강원특별자치도 동해시,강원특별자치도 평창군,14
강원특별자치도 동해시,강원특별자치도 홍천군,15
강원특별자치도 동해시,강원특별자치도 화천군,7
강원특별자치도 동해시,강원특별자치도 횡성군,21
강원특별자치도 동해시,경기도 가평군,9
강원특별자치도 동해시,경기도 고양시,45
강원특별자치도 동해시,경기도 과천시,4
강원특별자치도 동해시,경기도 광명시,11
강원특별자치도 동해시,경기도 광주시,20
강원특별자치도 동해시,경기도 구리시,10
강원특별자치도 동해시,경기도 군포시,16
강원특별자치도 동해시,경기도 김포시,33
강원특별자치도 동해시,경기도 남양주시,66
강원특별자치도 동해시,경기도 동두천시,3
강원특별자치도 동해시,경기도 부천시,41
강원특별자치도 동해시,경기도 성남시,61
강원특별자치도 동해시,경기도 수원시,69
강원특별자치도 동해시,경기도 시흥시,22
강원특별자치도 동해시,경기도 안산시,29
강원특별자치도 동해시,경기도 안성시,23
강원특별자치도 동해시,경기도 안양시,40
강원특별자치도 동해시,경기도 양주시,29
강원특별자치도 동해시,경기도 양평군,20
강원특별자치도 동해시,경기도 여주시,21
강원특별자치도 동해시,경기도 연천군,2
강원특별자치도 동해시,경기도 오산시,21
강원특별자치도 동해시,경기도 용인시,78
강원특별자치도 동해시,경기도 의왕시,3
강원특별자치도 동해시,경기도 의정부시,30
강원특별자치도 동해시,경기도 이천시,21
강원특별자치도 동해시,경기도 파주시,42
강원특별자치도 동해시,경기도 평택시,106
강원특별자치도 동해시,경기도 포천시,10
강원특별자치도 동해시,경기도 하남시,25
강원특별자치도 동해시,경기도 화성시,78
강원특별자치도 동해시,경상남도 거제시,37
강원특별자치도 동해시,경상남도 고성군,2
강원특별자치도 동해시,경상남도 김해시,24
강원특별자치도 동해시,경상남도 밀양시,6
강원특별자치도 동해시,경상남도 사천시,9
강원특별자치도 동해시,경상남도 양산시,8
강원특별자치도 동해시,경상남도 의령군,3
강원특별자치도 동해시,경상남도 진주시,19
강원특별자치도 동해시,경상남도 창원시,269
강원특별자치도 동해시,경상남도 통영시,3
강원특별자치도 동해시,경상남도 하동군,1
강원특별자치도 동해시,경상남도 함안군,1
강원특별자치도 동해시,경상북도 경산시,33
강원특별자치도 동해시,경상북도 경주시,19
강원특별자치도 동해시,경상북도 구미시,51
강원특별자치도 동해시,경상북도 김천시,3
강원특별자치도 동해시,경상북도 문경시,2
강원특별자치도 동해시,경상북도 봉화군,6
강원특별자치도 동해시,경상북도 상주시,4
강원특별자치도 동해시,경상북도 안동시,24
강원특별자치도 동해시,경상북도 영덕군,6
강원특별자치도 동해시,경상북도 영양군,1
강원특별자치도 동해시,경상북도 영주시,17
강원특별자치도 동해시,경상북도 영천시,8
강원특별자치도 동해시,경상북도 예천군,2
강원특별자치도 동해시,경상북도 울릉군,32
강원특별자치도 동해시,경상북도 울진군,30
강원특별자치도 동해시,경상북도 청송군,7
강원특별자치도 동해시,경상북도 칠곡군,3
강원특별자치도 동해시,경상북도 포항시,100
강원특별자치도 동해시,광주광역시,26
강원특별자치도 동해시,대구광역시,114
강원특별자치도 동해시,대전광역시,83
강원특별자치도 동해시,부산광역시,267
강원특별자치도 동해시,서울특별시,719
강원특별자치도 동해시,세종특별자치시,37
강원특별자치도 동해시,울산광역시,96
강원특별자치도 동해시,인천광역시,222
강원특별자치도 동해시,전라남도 고흥군,1
강원특별자치도 동해시,전라남도 곡성군,2
강원특별자치도 동해시,전라남도 광양시,16
강원특별자치도 동해시,전라남도 나주시,1
강원특별자치도 동해시,전라남도 목포시,18
강원특별자치도 동해시,전라남도 무안군,14
강원특별자치도 동해시,전라남도 보성군,2
강원특별자치도 동해시,전라남도 순천시,8
강원특별자치도 동해시,전라남도 신안군,3
강원특별자치도 동해시,전라남도 여수시,13
강원특별자치도 동해시,전라남도 영광군,1
강원특별자치도 동해시,전라남도 영암군,7
강원특별자치도 동해시,전라남도 완도군,5
강원특별자치도 동해시,전라남도 장흥군,4
강원특별자치도 동해시,전라남도 진도군,2
강원특별자치도 동해시,전라남도 화순군,2
강원특별자치도 동해시,전북특별자치도 군산시,13
강원특별자치도 동해시,전북특별자치도 김제시,3
