"구","group_2019","group_2020","group_2021","group_2022","group_2023","group_2024"
"관악구","4","3","3","2","2","3"
"동작구","4","3","3","2","2","3"
"강남구","2","2","2","3","3","2"
"송파구","2","2","2","3","3","2"
"양천구","5","5","5","5","4","4"
"서초구","2","2","2","3","3","2"
"강서구","4","3","3","2","2","3"
"영등포구","4","3","3","2","2","3"
"강동구","2","2","2","3","3","2"
"서대문구","5","1","2","4","3","5"
"마포구","4","1","2","4","3","5"
"광진구","1","2","4","1","5","1"
"성북구","3","4","1","1","1","1"
"동대문구","1","4","4","1","5","1"
"강북구","3","4","1","1","1","1"
"성동구","1","2","4","1","5","1"
"구로구","5","5","5","5","4","4"
"노원구","3","4","1","1","1","1"
"금천구","5","5","5","5","4","4"
"은평구","5","1","2","4","3","5"
"도봉구","3","4","1","1","1","1"
"중랑구","3","4","1","1","1","1"
"종로구","1","1","4","1","5","5"
"용산구","1","1","2","4","3","5"
"중구","1","1","4","1","5","5"
